available,domain,reason,status
False,a.dev,Reserved,success
False,b.dev,Reserved,success
False,c.dev,Reserved,success
False,d.dev,Reserved,success
False,e.dev,Reserved,success
False,f.dev,Reserved,success
False,g.dev,In use,success
False,h.dev,Reserved,success
False,i.dev,Reserved,success
False,j.dev,Reserved,success
False,k.dev,Reserved,success
False,l.dev,Reserved,success
False,m.dev,Reserved,success
False,n.dev,Reserved,success
False,o.dev,Reserved,success
False,p.dev,Reserved,success
False,q.dev,Reserved,success
False,r.dev,Reserved,success
False,s.dev,Reserved,success
False,t.dev,Reserved,success
False,u.dev,Reserved,success
False,v.dev,Reserved,success
False,w.dev,Reserved,success
False,x.dev,Reserved,success
False,y.dev,Reserved,success
False,z.dev,Reserved,success
